t, q_1, q_2, q_3, q_4, q_5, q_1_dot, q_2_dot, q_3_dot, q_4_dot, q_5_dot, eta_1, eta_2, eta_3, eta_4, eta_1_dot, eta_2_dot, eta_3_dot, eta_4_dot, z_1, z_1_dot, y_1, y_2, y_3, y_4, y_5, y_dot_1, y_dot_2, y_dot_3, y_dot_4, y_dot_5, post_impact,
0.065,0.550364,-1.14674,0.664131,-0.710661,1.27034,-0.0077703,-0.46878,1.25035,-2.76608,5.2139,-1.14674,0.664131,-0.710661,1.27034,-0.46878,1.25035,-2.76608,5.2139,0.550364,0.352777,0.0530652,0.839855,0.0677543,-0.0130985,0.0349091,0.0374193,-0.131795,0.773804,-0.707197,1.41107,0,
0.066,0.550355,-1.1472,0.665364,-0.713429,1.2756,-0.00861747,-0.459463,1.23364,-2.76755,5.25421,-1.1472,0.665364,-0.713429,1.2756,-0.459463,1.23364,-2.76755,5.25421,0.550355,0.358179,0.0530888,0.839726,0.0685199,-0.0138101,0.0363376,0.0416031,-0.129285,0.765557,-0.710583,1.43135,0,
0.067,0.550345,-1.14765,0.666581,-0.716197,1.28089,-0.00952039,-0.450043,1.21693,-2.76819,5.29126,-1.14765,0.666581,-0.716197,1.28089,-0.450043,1.21693,-2.76819,5.29126,0.550345,0.363585,0.0531136,0.839599,0.0692772,-0.0145244,0.0377855,0.0456344,-0.126743,0.757365,-0.713282,1.45083,0,
0.068,0.550335,-1.14809,0.667782,-0.718965,1.28621,-0.0104747,-0.44053,1.20023,-2.76803,5.32506,-1.14809,0.667782,-0.718965,1.28621,-0.44053,1.20023,-2.76803,5.32506,0.550335,0.368994,0.0531395,0.839475,0.0700265,-0.0152407,0.039252,0.0495142,-0.124171,0.749227,-0.715303,1.46947,0,
0.069,0.550323,-1.14852,0.668965,-0.721732,1.29157,-0.0114761,-0.430933,1.18355,-2.76704,5.35561,-1.14852,0.668965,-0.721732,1.29157,-0.430933,1.18355,-2.76704,5.35561,0.550323,0.374408,0.0531665,0.839354,0.0707676,-0.0159584,0.0407363,0.0532438,-0.121571,0.741142,-0.716658,1.48728,0,
0.07,0.550311,-1.14894,0.670132,-0.724497,1.29695,-0.0125205,-0.42126,1.16689,-2.76523,5.38294,-1.14894,0.670132,-0.724497,1.29695,-0.42126,1.16689,-2.76523,5.38294,0.550311,0.379825,0.0531947,0.839235,0.0715007,-0.0166769,0.0422375,0.0568247,-0.118947,0.733109,-0.717357,1.50424,0,
0.071,0.550297,-1.14935,0.671282,-0.72726,1.30236,-0.0136038,-0.41152,1.15025,-2.76261,5.40706,-1.14935,0.671282,-0.72726,1.30236,-0.41152,1.15025,-2.76261,5.40706,0.550297,0.385246,0.0532241,0.839119,0.0722258,-0.0173954,0.0437548,0.0602581,-0.116299,0.725128,-0.717411,1.52032,0,
0.072,0.550283,-1.14976,0.672416,-0.730019,1.30779,-0.0147222,-0.401723,1.13364,-2.75918,5.42798,-1.14976,0.672416,-0.730019,1.30779,-0.401723,1.13364,-2.75918,5.42798,0.550283,0.390672,0.0532545,0.839005,0.072943,-0.0181133,0.0452872,0.0635457,-0.113631,0.717198,-0.716833,1.53553,0,
0.073,0.550267,-1.15015,0.673533,-0.732774,1.31323,-0.0158718,-0.391875,1.11706,-2.75493,5.44573,-1.15015,0.673533,-0.732774,1.31323,-0.391875,1.11706,-2.75493,5.44573,0.550267,0.396102,0.0532861,0.838894,0.0736523,-0.0188301,0.046834,0.0666891,-0.110946,0.709317,-0.715633,1.54985,0,
0.074,0.55025,-1.15053,0.674634,-0.735524,1.31869,-0.0170489,-0.381985,1.10052,-2.74987,5.46032,-1.15053,0.674634,-0.735524,1.31869,-0.381985,1.10052,-2.74987,5.46032,0.55025,0.401537,0.0533188,0.838786,0.0743538,-0.0195451,0.0483942,0.0696899,-0.108244,0.701486,-0.713826,1.56327,0,
